ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Mannarino A.,6,42.0,4810,1045.0,6,3,5,7,6.0,2.0,6.0,1.0,,,3,1,Completed,1.06,10.0,1.05,13.28,1.08,13.28,1.06,9.96
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Basilashvili N.,Eubanks C.,20,170.0,1820,312.0,6,4,4,6,7.0,6.0,6.0,3.0,,,3,1,Completed,1.2,4.5,1.24,4.61,1.3,4.66,1.23,4.28
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Albot R.,Mmoh M.,98,107.0,585,526.0,3,6,6,3,6.0,4.0,6.0,2.0,,,3,1,Completed,2.1,1.72,2.19,1.76,2.22,1.77,2.14,1.72
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Travaglia S.,Andreozzi G.,137,77.0,401,708.0,6,7,6,2,6.0,3.0,6.0,2.0,,,3,1,Completed,1.4,3.0,1.45,2.97,1.5,3.02,1.44,2.82
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Kecmanovic M.,28,125.0,1410,458.0,7,6,6,3,6.0,3.0,,,,,3,0,Completed,1.5,2.62,1.5,2.81,1.5,2.9,1.47,2.72
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Cuevas P.,Lajovic D.,94,46.0,616,1010.0,6,4,7,5,6.0,1.0,,,,,3,0,Completed,3.2,1.36,3.51,1.35,3.51,1.76,3.11,1.38
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Haase R.,Garcia-Lopez G.,58,100.0,860,582.0,7,5,6,4,7.0,5.0,,,,,3,0,Completed,2.1,1.72,2.16,1.78,2.16,1.85,2.08,1.76
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Tsitsipas S.,Berrettini M.,15,54.0,2095,920.0,6,7,6,4,6.0,3.0,7.0,6.0,,,3,1,Completed,1.36,3.2,1.43,3.05,1.45,3.5,1.4,3.0
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Tipsarevic J.,21,,1790,,4,6,6,3,6.0,1.0,6.0,4.0,,,3,1,Completed,1.06,10.0,1.08,10.26,1.08,13.0,1.06,9.97
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Gunneswaran P.,39,109.0,1080,515.0,7,6,6,3,6.0,3.0,,,,,3,0,Completed,1.28,3.75,1.31,3.84,1.36,3.85,1.3,3.61
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Duckworth J.,2,237.0,7480,206.0,6,4,6,3,7.0,5.0,,,,,3,0,Completed,1.05,11.0,1.05,14.44,1.06,15.45,1.04,11.64
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Fabbiano T.,Kubler J.,102,130.0,573,433.0,6,4,7,6,2.0,6.0,6.0,3.0,,,3,1,Completed,2.0,1.8,2.12,1.81,2.12,1.9,2.04,1.79
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Opelka R.,Isner J.,97,10.0,593,3155.0,7,6,7,6,6.0,7.0,7.0,6.0,,,3,1,Completed,2.62,1.5,2.79,1.5,2.96,1.5,2.75,1.46
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Schwartzman D.,Molleker R.,16,206.0,1925,246.0,6,1,6,3,4.0,6.0,6.0,0.0,,,3,1,Completed,1.11,6.5,1.14,6.72,1.17,7.0,1.13,6.2
6,Melbourne,Australian Open,14/01/2019,Grand Slam,Outdoor,Hard,1st Round,5,Evans D.,Ito T.,189,150.0,266,360.0,7,5,6,1,7.0,6.0,,,,,3,0,Completed,1.36,3.2,1.34,3.58,1.36,3.6,1.33,3.38
