name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won,rank_x,height (cm),matches_played,rank_y,pressure_rating,break_pts_converted%,break_pts_saved%,tie_breaks%,deciding_sets%
Rafael Nadal,2019,162,62,63%,78%,59%,96,67%,380,92%,71%,31%,56%,261,43%,370,30%,40%,55%,2,185,17,2.0,250.4,42.4%,64.4%,63.6%,80.0%
Hugo Dellien,2019,13,8,72%,57%,44%,59,58%,56,55%,53%,31%,50%,36,44%,56,29%,39%,47%,123,180,1,,,,,,
Novak Djokovic,2019,241,96,66%,77%,59%,132,59%,470,89%,71%,34%,55%,303,47%,454,31%,42%,56%,1,188,42,25.0,216.5,47.2%,59.1%,72.7%,37.5%
Jan-Lennard Struff,2019,376,86,56%,79%,52%,154,62%,408,86%,68%,28%,49%,211,34%,413,17%,36%,51%,58,193,28,56.0,185.9,33.6%,62.3%,43.8%,46.2%
Roger Federer,2019,305,61,65%,79%,59%,129,67%,473,91%,72%,33%,49%,317,39%,469,26%,39%,55%,3,185,52,7.0,237.2,39.5%,67.7%,80.0%,50.0%
Steve Johnson,2019,137,57,57%,75%,53%,109,61%,233,82%,65%,26%,47%,113,37%,231,18%,34%,50%,33,188,33,,194.2,,,,
Daniil Medvedev,2019,539,177,61%,78%,54%,272,64%,686,86%,69%,30%,57%,438,45%,684,29%,40%,54%,16,198,65,18.0,226.5,45.0%,64.0%,73.1%,44.4%
Frances Tiafoe,2019,225,81,66%,71%,52%,246,63%,489,81%,65%,25%,51%,245,38%,487,19%,35%,50%,39,188,40,60.0,184.2,38.2%,63.1%,57.9%,25.0%
Dominic Thiem,2019,187,79,65%,74%,54%,191,66%,426,85%,67%,26%,49%,199,40%,423,19%,35%,51%,8,185,39,1.0,263.7,41.4%,66.3%,64.3%,91.7%
Adrian Mannarino,2019,213,75,60%,72%,52%,215,60%,411,79%,64%,31%,50%,236,42%,414,24%,38%,51%,41,180,41,58.0,185.3,41.9%,60.5%,40.0%,42.9%
